id|pmid|doi|first_author|year|title|other_study_identifier|url|extracted|tentatively_identified_test_substance|machine_confidence|tsca|fifra|toxcast
297|4669|||||||0|['ethanol']|0.777778|1|1|1
298|4948|||||||0|[ ' halothane ', ' nitrous oxide ']|1|1||
299|4990|||||||0|[' bicarbonate ', ' ketamine ']|1|||
300|5020|||||||0|['Trive 1000']|1|||
301|5257|||||||0|['WR 184806-14C']|1|||
302|5258|||||||0|['[14C]methylphenidate-HCl ']|1|||
303|5262|||||||0|['bumetanide']|1|||
304|5443|||||||0|[' epinephrine ', ' pyrogallol ']|0.777778|1||1
305|5701|||||||0|['2,3-diphosphoglycerate']|0.888889|||
306|5743|||||||0|[' butaperazine ']|1|||
307|5840|||||||0|[ ' acetoacetate ', ' arginine ', ' histidine ', ' nitrous oxide ', ' pyruvate ']|0.888889|1||
308|6166|||||||0|['ionized calcium']|0.888889|||
309|6181|||||||0|[' ampicillin ', ' bacampicillin ']|1|1||1
310|6226|||||||0|[ ' aniline ', ' benzo(a)pyrene ', ' ethylmorphine ', ' hexobarbital ', ' tilorone ']|1|1||
311|6227|||||||0|['hexobarbital', 'tilorone', 'zoxazolamine']|0.888889|||
312|6234|||||||0|[' mirex ']|0.888889||1|1
313|6235|||||||0|['mirex']|1||1|
314|6243|||||||0|[' alprenolol ', ' propranolol ']|0.888889|||
315|6647|||||||0|['metoclopramide']|1|||
316|6781|||||||0|[' probenecid ']|1|1||1
317|6789|||||||0|['ammonia', 'ammonium', 'arginase', 'citrulline', 'fatty acids', 'glutamine', 'octanoate', 'ornithine', 'phosphate', 'urea']|0.888889|1|1|
318|6792|||||||0|[' 5-aminosalicylic acid ', ' sulfapyridine ']|1|1|1|1
319|7280|||||||0|[' formaldehyde ']|1|1|1|
320|7370|||||||0|['calcium', 'oxalate', 'oxalic acid']|0.777778|1|1|
321|7482|||||||0|['cimetidine']|1|||
322|7575|||||||0|[' tetracycline ']|0.777778|||1
323|7707|||||||0|['bicarbonate', 'hydrochloric acid', 'potassium', 'sodium', 'sodium bicarbonate']|0.888889|1|1|
324|7934|||||||0|['acidic NSAID']|0.777778|||
325|8025|||||||0|['butaperazine', 'phenothiazine']|0.777778|1|1|
326|8063|||||||0|[' chlordiazepoxide ', ' cholesterol ', ' clofibrate ', ' diazepam ', ' glycerol ', ' lorazepam ', ' medazepam ']|0.888889|1|1|1
327|8202|||||||0|['isoproterenol', 'propranolol']|1|||
328|8227|||||||0|[' corticosterone ']|0.777778|||1
329|8232|||||||0|['lorazepam', 'quinazoline']|1|||
330|8285|||||||0|[' alpha-naphthylthiourea ', ' carbon monoxide ']|0.888889|1||
331|8286|||||||0|[' bunitrolol ', ' butoxamine ', ' practolol ', ' sotalol ', 'timolol']|1|||
332|8287|||||||0|['cicloprofen']|1|||
333|8290|||||||0|['formaldehyde']|0.777778|1|1|
334|8291|||||||0|['2,4,5,2',5'-pentachloro [14C] biphenyl']|1|1|1|
335|8295|||||||0|[' acetophenone ', 'MK-251']|1|1||1
336|8296|||||||0|['3-methylcholanthrene', 'acetaminophen', 'phenacetin']|1|1|1|
337|8297|||||||0|[' methadone ', ' phenobarbital ']|1|||
338|8420|||||||0|['bicarbonate']|1|||
339|8442|||||||0|[' ethylene ', ' ethylene glycol ', ' lysozyme ']|0.777778|1|1|1
340|8457|||||||0|['adenosine', 'camp', 'phenylephrine', 'theophylline']|0.888889|1||
341|8664|||||||0|[' penbutolol ', ' practolol ', ' propranolol ', ' serotonin ', ' tyramine ']|0.888889|||
342|8833|||||||0|['benorylate']|0.888889|||
343|8841|||||||0|[' benorylate ']|0.777778|||
344|8873|||||||0|['gentamicin', 'vitamin a']|1|1||
345|8989|||||||0|[' acetazolamide ', ' bicarbonate ']|1|1||1
346|8993|||||||0|[' arginine ']|0.888889|1||
347|9128|||||||0|[ ' deuterium ', ' deuterium oxide ', ' manganese ']|0.888889|1||
348|9299|||||||0|[' heptabarbital ']|1|||
349|9300|||||||0|[' benzene ', ' etilefrine ']|0.888889|1|1|
350|9302|||||||0|[' ampicillin ', ' polyethylene glycol ']|1|1|1|1
351|9341|||||||0|[ ' carteolol ', ' propranolol ']|1|||
352|9675|||||||0|[' sulfapyridine ']|1|1|1|
353|9913|||||||0|[ ' dieldrin ', ' endrin ']|1||1|1
354|9922|||||||0|[' carbromal ']|1|1||1
355|100329|||||||0|[ ' moxestrol ']|0.888889|||
356|100425|||||||0|[ ' 7,12-dimethylbenz(a)anthracene ']|1|1||1
357|100590|||||||0|[' diethylstilbestrol ']|0.888889|1||1
358|100816|||||||0|[ ' ethanol ']|1|1|1|1
359|100890|||||||0|[ ' methylprednisolone ']|0.777778|1||1
360|100903|||||||0|['linear alkylbenzene sulphonate']|0.888889|1|1|
361|100904|||||||0|[ ' acetal ', ' triamcinolone ', ' triamcinolone acetonide ']|0.777778|1||1
362|101158|||||||0|[' bromide ', ' histamine ', ' metiamide ', ' pentagastrin ', ' propantheline bromide ']|0.777778|1||1
363|101257|||||||0|[' 7,12-dimethylbenz(a)anthracene ']|1|1||1
364|101402|||||||0|['glibenclamide']|0.777778|||
365|102021|||||||0|['phenoxymethylpenicillin']|0.888889|||
366|102053|||||||0|['17BETA-acetoxy-2alpha-chloro-3(p-nitrophenoxy) imino-5-androstane']|1|||
367|102054|||||||0|[' testosterone ']|0.777778|1||
368|102070|||||||0|[ ' erythromycin ']|1|||1
369|102133|||||||0|['triethylphosphine gold chloride', 'sodium aurothiomalate']|0.888889|1||
370|102515|||||||0|[ ' paroxetine ']|0.888889|1||
371|102714|||||||0|[' lead ', ' EDTA ']|0.888889|1||
372|102903|||||||0|[' ammonium ', ' ammonium chloride ', ' bicarbonate ', ' chloride ', ' insulin ', ' sodium bicarbonate ']|0.888889|1|1|
373|103331|||||||0|[ ' flurbiprofen ']|1|||1
374|103362|||||||0|[ ' albumin ']|0.888889|||
375|103506|||||||0|[ ' copper ', ' zinc ']|0.777778|1|1|
376|103724|||||||0|[' carbon tetrachloride ']|1|1|1|
377|104449|||||||0|['Ethyltetrazolylchromone']|1|||
378|104665|||||||0|[' tetracycline ']|1|||1
379|104803|||||||0|[' isosorbide ', ' nitrate ']|1|1||
380|105127|||||||0|[' carbaryl ']|1|1|1|1
381|105428|||||||0|['Phenoclor DP6']|0.777778|||
382|105429|||||||0|['Phenoclor DP6']|0.888889|||
383|105532|||||||0|[' clonidine ', ' dopamine ', ' l-dopa ', ' phenoxybenzamine ', ' reserpine ', 'alpha-methyl-p-tyrosine']|0.777778|1||1
384|105691|||||||0|['phenytoin acid']|0.777778|||
385|105884|||||||0|[' trichloroacetic acid ', 'TSH']|1|1|1|1
386|105901|||||||0|['metopiron']|1|1||
387|106341|||||||0|[' thyrotropin ']|1|||
388|106420|||||||0|[' ethanol ']|0.777778|1|1|1
389|106912|||||||0|[' vitamin a ']|1|1||
390|106940|||||||0|['thyrotropin-releasing hormone']|1|||
391|107124|||||||0|[' maltose ', ' xylitol ']|0.888889|1||
392|107296|||||||0|['methionine']|0.888889|1||
393|107548|||||||0|[' thallium ']|1|1||
394|107616|||||||0|[ 'terbutaline sulfate']|1|||
395|107695|||||||0|[' beta-hydroxybutyrate ', ' insulin ']|0.888889|||
396|108141|||||||0|[ ' progesterone ', ' urethane ']|0.888889|1||1
397|108368|||||||0|['nitrogen']|1|||
398|108382|||||||0|[ ' naltrexone ']|1|||
399|109197|||||||0|['[methyl-14C]5-methyltetrahydrohomofolate']|0.888889|||
400|109293|||||||0|['Thiopental']|0.777778|||
401|109407|||||||0|[ ' ascorbic acid ']|1|||
402|109569|||||||0|[' trinitrobenzene sulfonate ']|0.777778|1|1|
403|109581|||||||0|[' methionine sulfoxide ']|0.777778|1||
404|109903|||||||0|[' furosemide ']|1|||1
405|109914|||||||0|[' auro thiomalate ']|0.888889|||
406|200155|||||||0|[' adrenocorticotropin ']|0.888889|||
407|200321|||||||0|[' adrenocorticotropin ']|1|||
408|200341|||||||0|[' 1,2-dimethylhydrazine ',  ' azoxymethane ', ' carbon disulfide ', ' chrysene ', ' disulfiram ', ' phenobarbital ']|0.777778|1|1|1
409|200764|||||||0|[' biphenyl ']|1|1|1|1
410|201052|||||||0|['cobalt-60 gamma-radiation ']|0.777778|1||
411|201378|||||||0|['meso-Tetra(p-sulfophenyl)porphine']|0.888889|||
412|201421|||||||0|[' glycerol ', ' pyruvate ']|1|1|1|1
413|201461|||||||0|[' ammonia ', ' orotic acid ', ' pyrimidine ']|0.777778|1|1|1
414|201514|||||||0|[' dexamethasone ', ' metyrapone ']|1|1||1
415|201602|||||||0|[' adrenocorticotropic hormone ', ' corticosterone ', ' epinephrine ']|1|1||1
416|201708|||||||0|[' corticosterone ', ' glycogen ']|1|1||1
417|201819|||||||0|[' adenosine ', ' albumin ', ' oleic acid ']|0.777778|1|1|1
418|201954|||||||0|[' camp ']|0.777778|1||
419|202478|||||||0|[' glycogen ', ' pyruvate ']|1|1||
420|202611|||||||0|['[(14)C]bicarbonate-labeled total soluble liver protein']|1|||
421|202722|||||||0|[' chloride ', ' disulfiram ', ' thiram ']|0.888889|1|1|1
422|202988|||||||0|[' aldosterone ']|1|1||
423|203197|||||||0|[' corticosterone ', ' histamine ', ' pentobarbital ']|0.888889|1||1
424|203560|||||||0|[' aldosterone ', ' corticosterone ', ' isoproterenol ']|0.777778|1||1
425|204158|||||||0|[' cadmium ']|1|1||
426|204488|||||||0|[' adenosine ', ' camp ']|0.888889|1||
427|204544|||||||0|[' caerulein ']|0.888889|||
428|204635|||||||0|[' adenosine ', ' disodium ', ' ethylene ', ' ethylene glycol ', ' guanosine ', ' inosine ', ' theophylline ']|0.888889|1|1|1
429|204947|||||||0|['4'-(9-acridinylamino)-methanesulfon-m-anisidide']|1|1||
430|205013|||||||0|[' camp ', ' theophylline ']|1|1||1
431|205163|||||||0|[' lipoprotein lipase ']|0.888889|1||
432|205475|||||||0|[' insulin ']|1|||
433|205562|||||||0|[' growth hormone ', ' ornithine ']|0.888889|||
434|205949|||||||0|[' dopamine ', ' homovanillic acid ', ' serotonin ']|0.777778|1||
435|206127|||||||0|[' adenine ', ' leucine ', ' phosphate ', ' pyridoxal ', ' pyridoxal phosphate ', ' xanthurenic acid ']|1|1||1
436|206305|||||||0|[' chlordiazepoxide ', ' clonazepam ', ' glycine ', ' promethazine ', ' strychnine ']|0.777778|1|1|1
437|206502|||||||0|[' phosphorus ']|1|1|1|
438|206664|||||||0|[' dopamine ', ' morphine ', ' naloxone ', ' tyrosine ']|1|1||
439|206706|||||||0|['N-2-fluorenylacetamide']|1|1||
440|206853|||||||0|[' apomorphine ', ' dopamine ', ' haloperidol ', ' pimozide ']|0.888889|||1
441|207073|||||||0|['Hexachlorophene']|1|1|1|
442|207733|||||||0|[' triiodothyronine','thyroxine ']|1|||
443|208588|||||||0|['high density lipoprotein (HDL)-apoproteins']|1|||
444|208740|||||||0|['ACTH']|1|||
445|208840|||||||0|[' adenosine ', ' epinephrine ']|1|1||1
446|208941|||||||0|[' camp ', ' ethanol ', ' insulin ']|1|1|1|1
447|209065|||||||0|[' ascorbic acid ']|1|||
448|209347|||||||0|[' camp ']|1|1||
449|209483|||||||0|[' epinephrine ', ' l-tryptophan ']|0.888889|1||1
450|209765|||||||0|[' cadmium ', ' cadmium oxide ']|1|1||
451|209966|||||||0|[' polybrominated biphenyls ']|0.888889|1|1|
452|209969|||||||0|[' n-methylnicotinamide ', ' peanut oil ']|1|1||
453|209978|||||||0|[' firemaster ff-1 ', ' hexabromobiphenyl ']|1|1|1|
454|209981|||||||0|[' indocyanine green ', ' ouabain ', ' sulfobromophthalein ']|1|1||1
455|209983|||||||0|[' biphenyl ', ' erythropoietin ']|0.777778|1|1|1
456|209984|||||||0|['FireMaster FF-1']|0.777778|||
457|209985|||||||0|['FireMaster FF1']|1|||
458|209987|||||||0|[' hexabromobiphenyl ']|0.888889|1|1|
459|209990|||||||0|[' olive oil ']|1|1||
460|209991|||||||0|[' phenobarbital ']|0.777778|||
461|300048|||||||0|[' sulfide ', ' sulindac ']|1|||1
462|300120|||||||0|['clindamycin-2-phosphate']|0.888889|1||
463|300209|||||||0|[' isoniazid ']|1|1||1
464|300540|||||||0|[' oxazepam ']|1|||1
465|300541|||||||0|[' oxazepam ']|1|||1
466|300542|||||||0|[' oxazepam ']|1|||1
467|300727|||||||0||0.888889|||
468|301389|||||||0|[' albumin ', ' chloride ', ' mercuric chloride ', ' nitrate ', ' uranyl nitrate ']|1|1|1|1
469|301392|||||||0|[' anthranilic acid ', ' glycine ', ' isoxazole ']|0.888889|1||
470|301563|||||||0|[' benzaldehyde ']|0.777778|1|1|
471|301777|||||||0|['metoprine' , 'etropine']|1|||
472|302136|||||||0|[' 5-hydroxytryptophan ', ' tyrosine ']|0.777778|1||
473|302412|||||||0|[' methotrexate ']|1|1||1
474|302781|||||||0|[' cephalothin ']|0.888889|||
475|303114|||||||0|[' benoxaprofen ']|1|||
476|303167|||||||0|[' flurbiprofen ']|0.777778|||1
477|303237|||||||0|[' indoprofen ']|0.888889|||
478|303409|||||||0|[' ergocalciferol ']|1|1||1
479|303498|||||||0|[' minocycline ']|1|||
480|303730|||||||0|[' ampicillin ', ' tetracycline ']|0.888889|||1
481|303874|||||||0||1|||
482|304012|||||||0|[' chloramine ', ' trichloroacetic acid ']|0.888889|1|1|1
483|304375|||||||0|[' methotrexate ']|0.888889|1||1
484|304376|||||||0|[' methotrexate ']|1|1||1
485|304434|||||||0|[' salicylic acid ']|0.888889|1|1|1
486|306111|||||||0|[' alpha-amylase ']|0.777778|1||
487|306979|||||||0|[' nitrate ', ' plutonium ', ' plutonium dioxide ']|0.777778|||
488|307059|||||||0|[' amiloride ']|1|||
