id|fk_series_id|fk_study_id|fk_chemical_id|calculated_with_invivopkfit|parameter_name|parameter_unit|parameter_value|parameter_value_sd|calculation_date|comment|joint_analysis_studies|reason_for_omittal|loglikelihood|AIC
20|20|||0|AUC||220896.0||2018-08-08 16:26:46.226672|calculated in Python 3.5 with numpy 1.13.3 trapz||||
21|21|||0|AUC||178728.0||2018-08-08 16:26:46.227673|calculated in Python 3.5 with numpy 1.13.3 trapz||||
22|22|||0|AUC||9504.0||2018-08-08 16:26:46.228174|calculated in Python 3.5 with numpy 1.13.3 trapz||||
23|23|||0|AUC||114720.0||2018-08-08 16:26:46.228674|calculated in Python 3.5 with numpy 1.13.3 trapz||||
24|24|||0|AUC||33168.0||2018-08-08 16:26:46.229174|calculated in Python 3.5 with numpy 1.13.3 trapz||||
25|25|||0|AUC||131208.0||2018-08-08 16:26:46.229675|calculated in Python 3.5 with numpy 1.13.3 trapz||||
26|26|||0|AUC||32724.0||2018-08-08 16:26:46.230175|calculated in Python 3.5 with numpy 1.13.3 trapz||||
27|27|||0|AUC||20388.0||2018-08-08 16:26:46.230675|calculated in Python 3.5 with numpy 1.13.3 trapz||||
28|28|||0|AUC||6000.0||2018-08-08 16:26:46.231176|calculated in Python 3.5 with numpy 1.13.3 trapz||||
29|29|||0|AUC||20016.0||2018-08-08 16:26:46.231676|calculated in Python 3.5 with numpy 1.13.3 trapz||||
30|30|||0|AUC||139344.0||2018-08-08 16:26:46.232177|calculated in Python 3.5 with numpy 1.13.3 trapz||||
31|31|||0|AUC||284928.0||2018-08-08 16:26:46.233178|calculated in Python 3.5 with numpy 1.13.3 trapz||||
32|32|||0|AUC||1640364.0||2018-08-08 16:26:46.233678|calculated in Python 3.5 with numpy 1.13.3 trapz||||
33|33|||0|AUC||249060.0||2018-08-08 16:26:46.234178|calculated in Python 3.5 with numpy 1.13.3 trapz||||
34|34|||0|AUC||1981824.0||2018-08-08 16:26:46.234679|calculated in Python 3.5 with numpy 1.13.3 trapz||||
35|35|||0|AUC||1208076.0||2018-08-08 16:26:46.235179|calculated in Python 3.5 with numpy 1.13.3 trapz||||
36|36|||0|AUC||135576.0||2018-08-08 16:26:46.235679|calculated in Python 3.5 with numpy 1.13.3 trapz||||
37|37|||0|AUC||1870116.0||2018-08-08 16:26:46.236180|calculated in Python 3.5 with numpy 1.13.3 trapz||||
38|38|||0|AUC||284508.0||2018-08-08 16:26:46.237180|calculated in Python 3.5 with numpy 1.13.3 trapz||||
39|39|||0|AUC||1229844.0||2018-08-08 16:26:46.237681|calculated in Python 3.5 with numpy 1.13.3 trapz||||
40|40|||0|AUC||429180.0||2018-08-08 16:26:46.238181|calculated in Python 3.5 with numpy 1.13.3 trapz||||
41|41|||0|AUC||268392.0||2018-08-08 16:26:46.238682|calculated in Python 3.5 with numpy 1.13.3 trapz||||
42|42|||0|AUC||112872.0||2018-08-08 16:26:46.239182|calculated in Python 3.5 with numpy 1.13.3 trapz||||
43|43|||0|AUC||575784.0||2018-08-08 16:26:46.239683|calculated in Python 3.5 with numpy 1.13.3 trapz||||
44|44|||0|AUC||1331520.0||2018-08-08 16:26:46.240183|calculated in Python 3.5 with numpy 1.13.3 trapz||||
45|45|||0|AUC||468.458||2018-08-08 16:26:46.240683|calculated in Python 3.5 with numpy 1.13.3 trapz||||
46|46|||0|AUC||49032.0||2018-08-08 16:26:46.241184|calculated in Python 3.5 with numpy 1.13.3 trapz||||
47|47|||0|AUC||124212.0||2018-08-08 16:26:46.241684|calculated in Python 3.5 with numpy 1.13.3 trapz||||
48|48|||0|AUC||36072.0||2018-08-08 16:26:46.242685|calculated in Python 3.5 with numpy 1.13.3 trapz||||
49|49|||0|AUC||507180.0||2018-08-08 16:26:46.243186|calculated in Python 3.5 with numpy 1.13.3 trapz||||
50|50|||0|AUC||252960.0||2018-08-08 16:26:46.243686|calculated in Python 3.5 with numpy 1.13.3 trapz||||
51|51|||0|AUC||19668.0||2018-08-08 16:26:46.244186|calculated in Python 3.5 with numpy 1.13.3 trapz||||
52|52|||0|AUC||235452.0||2018-08-08 16:26:46.244687|calculated in Python 3.5 with numpy 1.13.3 trapz||||
53|53|||0|AUC||54072.0||2018-08-08 16:26:46.245187|calculated in Python 3.5 with numpy 1.13.3 trapz||||
54|54|||0|AUC||313164.0||2018-08-08 16:26:46.245687|calculated in Python 3.5 with numpy 1.13.3 trapz||||
55|55|||0|AUC||53424.0||2018-08-08 16:26:46.246188|calculated in Python 3.5 with numpy 1.13.3 trapz||||
56|56|||0|AUC||43152.0||2018-08-08 16:26:46.246688|calculated in Python 3.5 with numpy 1.13.3 trapz||||
57|57|||0|AUC||11388.0||2018-08-08 16:26:46.247189|calculated in Python 3.5 with numpy 1.13.3 trapz||||
58|58|||0|AUC||38964.0||2018-08-08 16:26:46.247689|calculated in Python 3.5 with numpy 1.13.3 trapz||||
59|59|||0|AUC||147972.0||2018-08-08 16:26:46.248190|calculated in Python 3.5 with numpy 1.13.3 trapz||||
60|60|||0|AUC||726648.0||2018-08-08 16:26:46.249190|calculated in Python 3.5 with numpy 1.13.3 trapz||||
61|61|||0|AUC||3242172.0||2018-08-08 16:26:46.249691|calculated in Python 3.5 with numpy 1.13.3 trapz||||
62|62|||0|AUC||480984.0||2018-08-08 16:26:46.250191|calculated in Python 3.5 with numpy 1.13.3 trapz||||
63|63|||0|AUC||18857652.0||2018-08-08 16:26:46.250691|calculated in Python 3.5 with numpy 1.13.3 trapz||||
64|64|||0|AUC||3190128.0||2018-08-08 16:26:46.251192|calculated in Python 3.5 with numpy 1.13.3 trapz||||
65|65|||0|AUC||350424.0||2018-08-08 16:26:46.251692|calculated in Python 3.5 with numpy 1.13.3 trapz||||
66|66|||0|AUC||4350744.0||2018-08-08 16:26:46.252193|calculated in Python 3.5 with numpy 1.13.3 trapz||||
67|67|||0|AUC||731112.0||2018-08-08 16:26:46.252693|calculated in Python 3.5 with numpy 1.13.3 trapz||||
68|68|||0|AUC||3158160.0||2018-08-08 16:26:46.253194|calculated in Python 3.5 with numpy 1.13.3 trapz||||
69|69|||0|AUC||1008588.0||2018-08-08 16:26:46.253694|calculated in Python 3.5 with numpy 1.13.3 trapz||||
70|70|||0|AUC||664416.0||2018-08-08 16:26:46.254194|calculated in Python 3.5 with numpy 1.13.3 trapz||||
71|71|||0|AUC||210972.0||2018-08-08 16:26:46.255195|calculated in Python 3.5 with numpy 1.13.3 trapz||||
72|72|||0|AUC||1153284.0||2018-08-08 16:26:46.255695|calculated in Python 3.5 with numpy 1.13.3 trapz||||
73|73|||0|AUC||1933836.0||2018-08-08 16:26:46.256196|calculated in Python 3.5 with numpy 1.13.3 trapz||||
74|74|||0|AUC||1684.55346846||2018-08-08 16:26:46.256696|calculated in Python 3.5 with numpy 1.13.3 trapz||||
75|75|||0|AUC||31.7539696592||2018-08-08 16:26:46.257196|calculated in Python 3.5 with numpy 1.13.3 trapz||||
76|76|||0|AUC||88.8390720084||2018-08-08 16:26:46.257697|calculated in Python 3.5 with numpy 1.13.3 trapz||||
77|77|||0|AUC||251.739104359||2018-08-08 16:26:46.258197|calculated in Python 3.5 with numpy 1.13.3 trapz||||
78|78|||0|AUC||688.621926537||2018-08-08 16:26:46.258698|calculated in Python 3.5 with numpy 1.13.3 trapz||||
79|79|||0|AUC||95.3059925512||2018-08-08 16:26:46.259198|calculated in Python 3.5 with numpy 1.13.3 trapz||||
80|80|||0|AUC||251.375537618||2018-08-08 16:26:46.259699|calculated in Python 3.5 with numpy 1.13.3 trapz||||
81|81|||0|AUC||758.178766905||2018-08-08 16:26:46.260199|calculated in Python 3.5 with numpy 1.13.3 trapz||||
82|82|||0|AUC||1216.80820651||2018-08-08 16:26:46.260699|calculated in Python 3.5 with numpy 1.13.3 trapz||||
83|83|||0|AUC||2170.90494531||2018-08-08 16:26:46.261701|calculated in Python 3.5 with numpy 1.13.3 trapz||||
84|84|||0|AUC||4243.60957103||2018-08-08 16:26:46.262200|calculated in Python 3.5 with numpy 1.13.3 trapz||||
85|85|||0|AUC||1522.96015472||2018-08-08 16:26:46.262704|calculated in Python 3.5 with numpy 1.13.3 trapz||||
86|86|||0|AUC||4222.0649874||2018-08-08 16:26:46.263205|calculated in Python 3.5 with numpy 1.13.3 trapz||||
87|87|||0|AUC||7703.10702275||2018-08-08 16:26:46.263705|calculated in Python 3.5 with numpy 1.13.3 trapz||||
88|88|||0|AUC||2356.58337934||2018-08-08 16:26:46.264205|calculated in Python 3.5 with numpy 1.13.3 trapz||||
89|89|||0|AUC||3622.84533529||2018-08-08 16:26:46.264705|calculated in Python 3.5 with numpy 1.13.3 trapz||||
90|90|||0|AUC||117.45||2018-08-08 16:26:46.265206|calculated in Python 3.5 with numpy 1.13.3 trapz||||
91|91|||0|AUC||103.8||2018-08-08 16:26:46.265706|calculated in Python 3.5 with numpy 1.13.3 trapz||||
92|92|||0|AUC||168.7||2018-08-08 16:26:46.266207|calculated in Python 3.5 with numpy 1.13.3 trapz||||
93|93|||0|AUC||114.15||2018-08-08 16:26:46.266707|calculated in Python 3.5 with numpy 1.13.3 trapz||||
94|94|||0|AUC||88.45||2018-08-08 16:26:46.267708|calculated in Python 3.5 with numpy 1.13.3 trapz||||
95|95|||0|AUC||199.45||2018-08-08 16:26:46.268208|calculated in Python 3.5 with numpy 1.13.3 trapz||||
96|96|||0|AUC||0.0||2018-08-08 16:26:46.268709|calculated in Python 3.5 with numpy 1.13.3 trapz||||
97|97|||0|AUC||0.0||2018-08-08 16:26:46.269208|calculated in Python 3.5 with numpy 1.13.3 trapz||||
98|98|||0|AUC||11.4||2018-08-08 16:26:46.269710|calculated in Python 3.5 with numpy 1.13.3 trapz||||
99|99|||0|AUC||0.0||2018-08-08 16:26:46.270210|calculated in Python 3.5 with numpy 1.13.3 trapz||||
100|100|||0|AUC||0.0||2018-08-08 16:26:46.270711|calculated in Python 3.5 with numpy 1.13.3 trapz||||
101|101|||0|AUC||0.0||2018-08-08 16:26:46.271210|calculated in Python 3.5 with numpy 1.13.3 trapz||||
102|102|||0|AUC||319.95||2018-08-08 16:26:46.271709|calculated in Python 3.5 with numpy 1.13.3 trapz||||
103|103|||0|AUC||325.65||2018-08-08 16:26:46.272212|calculated in Python 3.5 with numpy 1.13.3 trapz||||
104|104|||0|AUC||0.0||2018-08-08 16:26:46.272712|calculated in Python 3.5 with numpy 1.13.3 trapz||||
105|105|||0|AUC||83.7||2018-08-08 16:26:46.273212|calculated in Python 3.5 with numpy 1.13.3 trapz||||
106|106|||0|AUC||69.6655496986||2018-08-08 16:26:46.274213|calculated in Python 3.5 with numpy 1.13.3 trapz||||
107|107|||0|AUC||6686.17707644||2018-08-08 16:26:46.274714|calculated in Python 3.5 with numpy 1.13.3 trapz||||
108|108|||0|AUC||67369.9503963||2018-08-08 16:26:46.275219|calculated in Python 3.5 with numpy 1.13.3 trapz||||
109|109|||0|AUC||139.752650177||2018-08-08 16:26:46.275715|calculated in Python 3.5 with numpy 1.13.3 trapz||||
110|110|||0|AUC||87435.1415094||2018-08-08 16:26:46.276215|calculated in Python 3.5 with numpy 1.13.3 trapz||||
111|111|||0|AUC||8113.20754717||2018-08-08 16:26:46.276715|calculated in Python 3.5 with numpy 1.13.3 trapz||||
112|112|||0|AUC||93353.2016349||2018-08-08 16:26:46.277216|calculated in Python 3.5 with numpy 1.13.3 trapz||||
113|113|||0|AUC||88239.1008174||2018-08-08 16:26:46.277716|calculated in Python 3.5 with numpy 1.13.3 trapz||||
114|114|||0|AUC||10210.3201635||2018-08-08 16:26:46.278217|calculated in Python 3.5 with numpy 1.13.3 trapz||||
115|115|||0|AUC||519.03745394||2018-08-08 16:26:46.278717|calculated in Python 3.5 with numpy 1.13.3 trapz||||
116|116|||0|AUC||2229.03655689||2018-08-08 16:26:46.279718|calculated in Python 3.5 with numpy 1.13.3 trapz||||
117|117|||0|AUC||13564.3309384||2018-08-08 16:26:46.280218|calculated in Python 3.5 with numpy 1.13.3 trapz||||
118|118|||0|AUC||39325.4393619||2018-08-08 16:26:46.280718|calculated in Python 3.5 with numpy 1.13.3 trapz||||
119|119|||0|AUC||82.1070531038||2018-08-08 16:26:46.281720|calculated in Python 3.5 with numpy 1.13.3 trapz||||
120|120|||0|AUC||69.5690006653||2018-08-08 16:26:46.282220|calculated in Python 3.5 with numpy 1.13.3 trapz||||
121|121|||0|AUC||72.3375200741||2018-08-08 16:26:46.282720|calculated in Python 3.5 with numpy 1.13.3 trapz||||
122|122|||0|AUC||21.3155208537||2018-08-08 16:26:46.283221|calculated in Python 3.5 with numpy 1.13.3 trapz||||
123|123|||0|AUC||4.03408321774||2018-08-08 16:26:46.283721|calculated in Python 3.5 with numpy 1.13.3 trapz||||
124|124|||0|AUC||1.63352005733||2018-08-08 16:26:46.284722|calculated in Python 3.5 with numpy 1.13.3 trapz||||
125|125|||0|AUC||945.907189951||2018-08-08 16:26:46.285222|calculated in Python 3.5 with numpy 1.13.3 trapz||||
126|126|||0|AUC||72.7754637374||2018-08-08 16:26:46.285722|calculated in Python 3.5 with numpy 1.13.3 trapz||||
127|127|||0|AUC||22.403453364||2018-08-08 16:26:46.286223|calculated in Python 3.5 with numpy 1.13.3 trapz||||
128|128|||0|AUC||2196.42372402||2018-08-08 16:26:46.286724|calculated in Python 3.5 with numpy 1.13.3 trapz||||
129|129|||0|AUC||230.450414313||2018-08-08 16:26:46.287224|calculated in Python 3.5 with numpy 1.13.3 trapz||||
130|130|||0|AUC||18732.7068098||2018-08-08 16:26:46.287724|calculated in Python 3.5 with numpy 1.13.3 trapz||||
131|131|||0|AUC||2126.15575502||2018-08-08 16:26:46.288729|calculated in Python 3.5 with numpy 1.13.3 trapz||||
132|132|||0|AUC||549.56207496||2018-08-08 16:26:46.289225|calculated in Python 3.5 with numpy 1.13.3 trapz||||
133|133|||0|AUC||47.3095173417||2018-08-08 16:26:46.289726|calculated in Python 3.5 with numpy 1.13.3 trapz||||
134|134|||0|AUC||5892.67558785||2018-08-08 16:26:46.290726|calculated in Python 3.5 with numpy 1.13.3 trapz||||
135|135|||0|AUC||6683.67685931||2018-08-08 16:26:46.291226|calculated in Python 3.5 with numpy 1.13.3 trapz||||
136|136|||0|AUC||4814.65866398||2018-08-08 16:26:46.291732|calculated in Python 3.5 with numpy 1.13.3 trapz||||
137|137|||0|AUC||898.47367939||2018-08-08 16:26:46.292228|calculated in Python 3.5 with numpy 1.13.3 trapz||||
138|138|||0|AUC||879.161881402||2018-08-08 16:26:46.292728|calculated in Python 3.5 with numpy 1.13.3 trapz||||
139|139|||0|AUC||934.911325942||2018-08-08 16:26:46.293229|calculated in Python 3.5 with numpy 1.13.3 trapz||||
140|140|||0|AUC||730.122679293||2018-08-08 16:26:46.293729|calculated in Python 3.5 with numpy 1.13.3 trapz||||
141|141|||0|AUC||1011.24437699||2018-08-08 16:26:46.294230|calculated in Python 3.5 with numpy 1.13.3 trapz||||
142|142|||0|AUC||316.410617385||2018-08-08 16:26:46.294730|calculated in Python 3.5 with numpy 1.13.3 trapz||||
143|143|||0|AUC||126.374823201||2018-08-08 16:26:46.295230|calculated in Python 3.5 with numpy 1.13.3 trapz||||
144|144|||0|AUC||146.871139815||2018-08-08 16:26:46.295730|calculated in Python 3.5 with numpy 1.13.3 trapz||||
145|145|||0|AUC||167.803017692||2018-08-08 16:26:46.296731|calculated in Python 3.5 with numpy 1.13.3 trapz||||
146|146|||0|AUC||77.920364526||2018-08-08 16:26:46.297232|calculated in Python 3.5 with numpy 1.13.3 trapz||||
147|147|||0|AUC||15204.0421084||2018-08-08 16:26:46.297749|calculated in Python 3.5 with numpy 1.13.3 trapz||||
148|148|||0|AUC||1627.37456409||2018-08-08 16:26:46.298233|calculated in Python 3.5 with numpy 1.13.3 trapz||||
149|149|||0|AUC||470.434236903||2018-08-08 16:26:46.298733|calculated in Python 3.5 with numpy 1.13.3 trapz||||
150|150|||0|AUC||48.8753140451||2018-08-08 16:26:46.299233|calculated in Python 3.5 with numpy 1.13.3 trapz||||
153|155|||0|AUC||20436.47323||2018-08-08 16:26:46.300735|calculated in Python 3.5 with numpy 1.13.3 trapz||||
154|156|||0|AUC||60.8053728591||2018-08-08 16:26:46.301235|calculated in Python 3.5 with numpy 1.13.3 trapz||||
155|157|||0|AUC||13492.7022475||2018-08-08 16:26:46.301735|calculated in Python 3.5 with numpy 1.13.3 trapz||||
156|158|||0|AUC||144.266200423||2018-08-08 16:26:46.302736|calculated in Python 3.5 with numpy 1.13.3 trapz||||
157|159|||0|AUC||5.72820657874||2018-08-08 16:26:46.303237|calculated in Python 3.5 with numpy 1.13.3 trapz||||
158|160|||0|AUC||13.4437302801||2018-08-08 16:26:46.303737|calculated in Python 3.5 with numpy 1.13.3 trapz||||
159|162|||0|AUC||173311.706717||2018-08-08 16:26:46.304237|calculated in Python 3.5 with numpy 1.13.3 trapz||||
160|163|||0|AUC||1514.08712494||2018-08-08 16:26:46.304738|calculated in Python 3.5 with numpy 1.13.3 trapz||||
161|164|||0|AUC||147196.205951||2018-08-08 16:26:46.305238|calculated in Python 3.5 with numpy 1.13.3 trapz||||
162|165|||0|AUC||1184.59155575||2018-08-08 16:26:46.305739|calculated in Python 3.5 with numpy 1.13.3 trapz||||
163|171|||0|AUC||25.7962914445||2018-08-08 16:26:46.306239|calculated in Python 3.5 with numpy 1.13.3 trapz||||
164|172|||0|AUC||5069.68753447||2018-08-08 16:26:46.306740|calculated in Python 3.5 with numpy 1.13.3 trapz||||
165|173|||0|AUC||5026.16226733||2018-08-08 16:26:46.307240|calculated in Python 3.5 with numpy 1.13.3 trapz||||
166|174|||0|AUC||5202.63240217||2018-08-08 16:26:46.307740|calculated in Python 3.5 with numpy 1.13.3 trapz||||
167|175|||0|AUC||3327.58872003||2018-08-08 16:26:46.308741|calculated in Python 3.5 with numpy 1.13.3 trapz||||
168|176|||0|AUC||346.814681567||2018-08-08 16:26:46.309241|calculated in Python 3.5 with numpy 1.13.3 trapz||||
169|178|||0|AUC||107.348178517||2018-08-08 16:26:46.309742|calculated in Python 3.5 with numpy 1.13.3 trapz||||
170|179|||0|AUC||72.5162375997||2018-08-08 16:26:46.310247|calculated in Python 3.5 with numpy 1.13.3 trapz||||
171|180|||0|AUC||62.3573212457||2018-08-08 16:26:46.310742|calculated in Python 3.5 with numpy 1.13.3 trapz||||
172|181|||0|AUC||17.1199992978||2018-08-08 16:26:46.311243|calculated in Python 3.5 with numpy 1.13.3 trapz||||
173|182|||0|AUC||1952.07855256||2018-08-08 16:26:46.311742|calculated in Python 3.5 with numpy 1.13.3 trapz||||
174|183|||0|AUC||545.80715388||2018-08-08 16:26:46.312244|calculated in Python 3.5 with numpy 1.13.3 trapz||||
175|184|||0|AUC||0.138116426587||2018-08-08 16:26:46.312744|calculated in Python 3.5 with numpy 1.13.3 trapz||||
176|185|||0|AUC||0.0445335741965||2018-08-08 16:26:46.313245|calculated in Python 3.5 with numpy 1.13.3 trapz||||
177|186|||0|AUC||0.0446759423294||2018-08-08 16:26:46.313745|calculated in Python 3.5 with numpy 1.13.3 trapz||||
178|188|||0|AUC||0.000902933341369||2018-08-08 16:26:46.314245|calculated in Python 3.5 with numpy 1.13.3 trapz||||
179|189|||0|AUC||0.00925121546948||2018-08-08 16:26:46.314746|calculated in Python 3.5 with numpy 1.13.3 trapz||||
180|190|||0|AUC||0.00736839609104||2018-08-08 16:26:46.315246|calculated in Python 3.5 with numpy 1.13.3 trapz||||
181|191|||0|AUC||0.0466297253551||2018-08-08 16:26:46.316247|calculated in Python 3.5 with numpy 1.13.3 trapz||||
182|192|||0|AUC||0.0375837510443||2018-08-08 16:26:46.316748|calculated in Python 3.5 with numpy 1.13.3 trapz||||
183|193|||0|AUC||0.00654552389858||2018-08-08 16:26:46.317248|calculated in Python 3.5 with numpy 1.13.3 trapz||||
184|194|||0|AUC||0.00513377405838||2018-08-08 16:26:46.317762|calculated in Python 3.5 with numpy 1.13.3 trapz||||
185|195|||0|AUC||0.0293430543725||2018-08-08 16:26:46.318249|calculated in Python 3.5 with numpy 1.13.3 trapz||||
186|196|||0|AUC||0.0507434167194||2018-08-08 16:26:46.318749|calculated in Python 3.5 with numpy 1.13.3 trapz||||
187|197|||0|AUC||0.0726197102804||2018-08-08 16:26:46.319249|calculated in Python 3.5 with numpy 1.13.3 trapz||||
188|198|||0|AUC||0.090334742017||2018-08-08 16:26:46.319750|calculated in Python 3.5 with numpy 1.13.3 trapz||||
189|200|||0|AUC||0.000322476193346||2018-08-08 16:26:46.320250|calculated in Python 3.5 with numpy 1.13.3 trapz||||
190|201|||0|AUC||0.00482672111451||2018-08-08 16:26:46.320751|calculated in Python 3.5 with numpy 1.13.3 trapz||||
191|202|||0|AUC||0.00294735843642||2018-08-08 16:26:46.321752|calculated in Python 3.5 with numpy 1.13.3 trapz||||
192|203|||0|AUC||0.0223822681704||2018-08-08 16:26:46.322770|calculated in Python 3.5 with numpy 1.13.3 trapz||||
193|204|||0|AUC||0.0187918755221||2018-08-08 16:26:46.323253|calculated in Python 3.5 with numpy 1.13.3 trapz||||
194|205|||0|AUC||0.00163638097465||2018-08-08 16:26:46.323753|calculated in Python 3.5 with numpy 1.13.3 trapz||||
195|206|||0|AUC||0.00256688702919||2018-08-08 16:26:46.324254|calculated in Python 3.5 with numpy 1.13.3 trapz||||
196|207|||0|AUC||0.0146715271863||2018-08-08 16:26:46.325254|calculated in Python 3.5 with numpy 1.13.3 trapz||||
197|208|||0|AUC||0.0154436485668||2018-08-08 16:26:46.325755|calculated in Python 3.5 with numpy 1.13.3 trapz||||
198|209|||0|AUC||0.0254168985982||2018-08-08 16:26:46.326256|calculated in Python 3.5 with numpy 1.13.3 trapz||||
199|210|||0|AUC||0.0410612463713||2018-08-08 16:26:46.326760|calculated in Python 3.5 with numpy 1.13.3 trapz||||
200|211|||0|AUC||0.000414383437801||2018-08-08 16:26:46.327256|calculated in Python 3.5 with numpy 1.13.3 trapz||||
201|212|||0|AUC||0.000257980954677||2018-08-08 16:26:46.327757|calculated in Python 3.5 with numpy 1.13.3 trapz||||
202|213|||0|AUC||0.00804453519085||2018-08-08 16:26:46.328257|calculated in Python 3.5 with numpy 1.13.3 trapz||||
203|214|||0|AUC||0.00589471687283||2018-08-08 16:26:46.328757|calculated in Python 3.5 with numpy 1.13.3 trapz||||
204|215|||0|AUC||0.037303780284||2018-08-08 16:26:46.329258|calculated in Python 3.5 with numpy 1.13.3 trapz||||
205|216|||0|AUC||0.0469796888053||2018-08-08 16:26:46.329758|calculated in Python 3.5 with numpy 1.13.3 trapz||||
206|217|||0|AUC||0.0114546668225||2018-08-08 16:26:46.330258|calculated in Python 3.5 with numpy 1.13.3 trapz||||
207|218|||0|AUC||0.00641721757297||2018-08-08 16:26:46.331259|calculated in Python 3.5 with numpy 1.13.3 trapz||||
208|219|||0|AUC||0.0440145815588||2018-08-08 16:26:46.331759|calculated in Python 3.5 with numpy 1.13.3 trapz||||
209|220|||0|AUC||0.0551558877385||2018-08-08 16:26:46.332282|calculated in Python 3.5 with numpy 1.13.3 trapz||||
210|221|||0|AUC||0.108929565421||2018-08-08 16:26:46.332760|calculated in Python 3.5 with numpy 1.13.3 trapz||||
211|222|||0|AUC||0.102653115928||2018-08-08 16:26:46.333261|calculated in Python 3.5 with numpy 1.13.3 trapz||||
212|224|||0|AUC||0.000257980954677||2018-08-08 16:26:46.333761|calculated in Python 3.5 with numpy 1.13.3 trapz||||
213|225|||0|AUC||0.00201113379771||2018-08-08 16:26:46.334262|calculated in Python 3.5 with numpy 1.13.3 trapz||||
214|226|||0|AUC||0.00235788674913||2018-08-08 16:26:46.334762|calculated in Python 3.5 with numpy 1.13.3 trapz||||
215|227|||0|AUC||0.00559556704261||2018-08-08 16:26:46.335262|calculated in Python 3.5 with numpy 1.13.3 trapz||||
216|228|||0|AUC||0.0150335004177||2018-08-08 16:26:46.335763|calculated in Python 3.5 with numpy 1.13.3 trapz||||
217|229|||0|AUC||0.00163638097465||2018-08-08 16:26:46.336763|calculated in Python 3.5 with numpy 1.13.3 trapz||||
218|230|||0|AUC||0.00128344351459||2018-08-08 16:26:46.337264|calculated in Python 3.5 with numpy 1.13.3 trapz||||
219|231|||0|AUC||0.00440145815588||2018-08-08 16:26:46.337772|calculated in Python 3.5 with numpy 1.13.3 trapz||||
220|232|||0|AUC||0.0110311775477||2018-08-08 16:26:46.338265|calculated in Python 3.5 with numpy 1.13.3 trapz||||
221|233|||0|AUC||0.0108929565421||2018-08-08 16:26:46.338765|calculated in Python 3.5 with numpy 1.13.3 trapz||||
222|234|||0|AUC||0.0123183739114||2018-08-08 16:26:46.339266|calculated in Python 3.5 with numpy 1.13.3 trapz||||
223|236|||0|AUC||0.00109641905738||2018-08-08 16:26:46.339766|calculated in Python 3.5 with numpy 1.13.3 trapz||||
224|237|||0|AUC||0.00804453519085||2018-08-08 16:26:46.340266|calculated in Python 3.5 with numpy 1.13.3 trapz||||
225|238|||0|AUC||0.00589471687283||2018-08-08 16:26:46.340766|calculated in Python 3.5 with numpy 1.13.3 trapz||||
226|239|||0|AUC||0.037303780284||2018-08-08 16:26:46.341267|calculated in Python 3.5 with numpy 1.13.3 trapz||||
